52.04921, (6.113921, 2.655807, 5.389094), (-0.057406, 0.200098, -0.087349, 0.974185)
52.06329, (6.122781, 2.651285, 5.381410), (-0.058591, 0.199690, -0.088780, 0.974068)
52.07718, (6.134442, 2.648376, 5.371498), (-0.059168, 0.198899, -0.089231, 0.974154)
52.09093, (6.145636, 2.646405, 5.363457), (-0.060028, 0.199627, -0.089469, 0.973931)
52.10496, (6.158221, 2.643915, 5.356289), (-0.061715, 0.199911, -0.090038, 0.973715)
52.11876, (6.168213, 2.640527, 5.348786), (-0.063828, 0.200355, -0.090671, 0.973428)
52.13256, (6.177506, 2.636338, 5.343546), (-0.065932, 0.201457, -0.091981, 0.972938)
52.14655, (6.190116, 2.634196, 5.338623), (-0.066727, 0.201796, -0.092851, 0.972731)
52.1604, (6.201028, 2.630055, 5.335855), (-0.066855, 0.202430, -0.093364, 0.972541)
52.17442, (6.211797, 2.627000, 5.331042), (-0.067756, 0.202987, -0.094069, 0.972294)
52.18807, (6.221590, 2.626188, 5.331605), (-0.068109, 0.204158, -0.094420, 0.971990)
52.20211, (6.233419, 2.622980, 5.332282), (-0.069989, 0.204554, -0.094701, 0.971746)
52.21598, (6.244447, 2.620116, 5.329034), (-0.071185, 0.205073, -0.095319, 0.971490)
52.22982, (6.254211, 2.616837, 5.333440), (-0.072866, 0.205974, -0.096478, 0.971060)
52.24373, (6.262640, 2.611310, 5.335602), (-0.071925, 0.206945, -0.097290, 0.970843)
52.25775, (6.273677, 2.603203, 5.340962), (-0.071451, 0.207321, -0.098068, 0.970719)
52.27156, (6.284616, 2.596674, 5.345437), (-0.071292, 0.207844, -0.098796, 0.970545)
52.2854, (6.294432, 2.587526, 5.358005), (-0.071405, 0.207964, -0.100055, 0.970382)
52.29921, (6.303451, 2.580502, 5.368731), (-0.070686, 0.208616, -0.100835, 0.970214)
52.31318, (6.314168, 2.571970, 5.382105), (-0.069080, 0.208145, -0.100605, 0.970455)
52.32712, (6.324087, 2.561709, 5.394898), (-0.068637, 0.208101, -0.100498, 0.970507)
52.34092, (6.335132, 2.548702, 5.413109), (-0.067021, 0.207833, -0.100592, 0.970667)
52.35505, (6.345440, 2.535944, 5.431251), (-0.065710, 0.207961, -0.101369, 0.970649)
52.36884, (6.355358, 2.526160, 5.451041), (-0.062174, 0.207899, -0.103136, 0.970709)
52.38266, (6.364686, 2.515978, 5.469116), (-0.060131, 0.208063, -0.104286, 0.970680)
52.39659, (6.375607, 2.507447, 5.491002), (-0.057948, 0.208399, -0.105440, 0.970615)
52.41058, (6.385047, 2.499083, 5.511967), (-0.057322, 0.208835, -0.106125, 0.970484)
52.42455, (6.395036, 2.491632, 5.531459), (-0.057589, 0.208471, -0.106631, 0.970491)
52.43832, (6.402994, 2.481717, 5.549980), (-0.056064, 0.208679, -0.107025, 0.970493)
52.45238, (6.413980, 2.472315, 5.569580), (-0.054019, 0.208429, -0.107294, 0.970633)
52.46608, (6.425861, 2.465727, 5.589145), (-0.051772, 0.208658, -0.106191, 0.970827)
52.48005, (6.436306, 2.462620, 5.607038), (-0.051769, 0.208704, -0.105746, 0.970866)
52.49398, (6.448179, 2.461042, 5.624276), (-0.052095, 0.208574, -0.106570, 0.970786)
52.50793, (6.459595, 2.460198, 5.638709), (-0.052342, 0.208482, -0.107903, 0.970645)
52.52173, (6.468726, 2.452855, 5.651540), (-0.053206, 0.207713, -0.108328, 0.970716)
52.53558, (6.478902, 2.448062, 5.668152), (-0.052787, 0.207461, -0.108464, 0.970778)
52.54944, (6.488790, 2.446611, 5.681804), (-0.052814, 0.206846, -0.109712, 0.970767)
52.56334, (6.499209, 2.442263, 5.697717), (-0.052457, 0.206626, -0.110272, 0.970770)
52.57717, (6.510228, 2.444024, 5.711970), (-0.053377, 0.205022, -0.111132, 0.970962)
52.59117, (6.522917, 2.443695, 5.727708), (-0.054225, 0.204235, -0.111859, 0.970997)
52.60497, (6.534243, 2.442728, 5.743332), (-0.054244, 0.203785, -0.112276, 0.971043)
52.61904, (6.543013, 2.440206, 5.757061), (-0.054875, 0.202349, -0.112605, 0.971269)
52.6327, (6.551278, 2.437781, 5.769592), (-0.055397, 0.201755, -0.112479, 0.971378)
52.64661, (6.560841, 2.435673, 5.782122), (-0.055044, 0.201176, -0.112727, 0.971489)
52.66068, (6.571413, 2.434201, 5.796173), (-0.054912, 0.200403, -0.112640, 0.971666)
52.67458, (6.582002, 2.433436, 5.809286), (-0.053974, 0.199995, -0.112827, 0.971781)
52.68913, (6.589271, 2.433683, 5.821075), (-0.054130, 0.199626, -0.113515, 0.971768)
52.70271, (6.595684, 2.432288, 5.831647), (-0.054115, 0.199637, -0.114614, 0.971638)
52.71651, (6.600997, 2.429678, 5.840482), (-0.053615, 0.199340, -0.115049, 0.971675)
52.73035, (6.607463, 2.430912, 5.850448), (-0.053169, 0.199141, -0.114794, 0.971771)
52.74397, (6.613817, 2.432584, 5.860168), (-0.053449, 0.199133, -0.115297, 0.971698)
52.75827, (6.617503, 2.434951, 5.870914), (-0.054160, 0.199242, -0.115082, 0.971661)
52.7716, (6.622772, 2.435460, 5.881767), (-0.055379, 0.199188, -0.115716, 0.971528)
52.78571, (6.626060, 2.437159, 5.891632), (-0.056846, 0.198786, -0.115841, 0.971511)
52.79923, (6.628528, 2.439275, 5.902717), (-0.058226, 0.198195, -0.115323, 0.971612)
52.81323, (6.630970, 2.442309, 5.912143), (-0.059470, 0.197141, -0.114275, 0.971875)
52.82704, (6.630043, 2.446008, 5.921259), (-0.060441, 0.196151, -0.113694, 0.972083)
52.841, (6.629262, 2.449179, 5.930235), (-0.060561, 0.194518, -0.114156, 0.972350)
52.85503, (6.626629, 2.449917, 5.940236), (-0.060961, 0.193100, -0.113707, 0.972660)
52.86884, (6.625609, 2.449172, 5.949845), (-0.060604, 0.191344, -0.113300, 0.973077)
52.88267, (6.623294, 2.449859, 5.958876), (-0.060300, 0.189527, -0.112224, 0.973575)
52.89685, (6.619629, 2.452846, 5.968220), (-0.059535, 0.187321, -0.112064, 0.974068)
52.91068, (6.615759, 2.455755, 5.975588), (-0.059875, 0.184972, -0.112320, 0.974466)
52.92443, (6.613017, 2.458460, 5.984671), (-0.060028, 0.182940, -0.112797, 0.974785)
52.9384, (6.605369, 2.458991, 5.991860), (-0.060299, 0.181557, -0.113611, 0.974933)
52.95238, (6.600974, 2.460036, 5.997419), (-0.059593, 0.180270, -0.113990, 0.975171)
52.96659, (6.596211, 2.463236, 6.005306), (-0.059172, 0.179078, -0.113725, 0.975447)
52.98041, (6.590971, 2.464260, 6.011891), (-0.060073, 0.179006, -0.112286, 0.975572)
52.99408, (6.584675, 2.469838, 6.019053), (-0.060750, 0.178825, -0.111452, 0.975659)
53.00803, (6.578414, 2.473856, 6.026258), (-0.061368, 0.177897, -0.111214, 0.975817)
53.02206, (6.567789, 2.477006, 6.029302), (-0.062175, 0.177719, -0.111528, 0.975762)
53.03577, (6.559166, 2.478845, 6.033974), (-0.062298, 0.177061, -0.110896, 0.975946)
53.04957, (6.552513, 2.481066, 6.039388), (-0.062363, 0.176400, -0.110438, 0.976113)
53.06344, (6.542199, 2.483444, 6.043762), (-0.061978, 0.176396, -0.109301, 0.976267)
53.07711, (6.531372, 2.487030, 6.048882), (-0.062334, 0.176048, -0.108297, 0.976419)
53.0911, (6.520501, 2.492505, 6.053011), (-0.062426, 0.175422, -0.107530, 0.976610)
53.10493, (6.506975, 2.497429, 6.054637), (-0.062722, 0.174335, -0.107174, 0.976825)
53.11893, (6.491662, 2.501026, 6.057243), (-0.062945, 0.173029, -0.105677, 0.977206)
53.13278, (6.479174, 2.504927, 6.060070), (-0.063524, 0.171885, -0.103809, 0.977571)
53.14675, (6.465858, 2.509785, 6.062686), (-0.063666, 0.171039, -0.102513, 0.977846)
53.16058, (6.452426, 2.515312, 6.064403), (-0.063505, 0.169932, -0.101175, 0.978189)
53.17447, (6.437031, 2.520202, 6.065524), (-0.064079, 0.168342, -0.099686, 0.978580)
53.1885, (6.416571, 2.525854, 6.064413), (-0.063895, 0.165906, -0.098841, 0.979093)
53.20242, (6.398859, 2.529292, 6.064481), (-0.063713, 0.164244, -0.097954, 0.979474)
53.21625, (6.380225, 2.534236, 6.064961), (-0.063629, 0.163168, -0.096628, 0.979791)
53.23001, (6.362638, 2.539269, 6.064699), (-0.063785, 0.162166, -0.095443, 0.980063)
53.24386, (6.343604, 2.545395, 6.062964), (-0.063986, 0.161017, -0.094202, 0.980360)
53.25787, (6.321890, 2.551514, 6.062782), (-0.064160, 0.159753, -0.093532, 0.980619)
53.2721, (6.300839, 2.555356, 6.062126), (-0.063927, 0.157923, -0.092757, 0.981005)
53.28568, (6.277356, 2.561119, 6.060205), (-0.063281, 0.155431, -0.091321, 0.981579)
53.29948, (6.255906, 2.565985, 6.058795), (-0.063427, 0.153522, -0.089956, 0.981996)
53.31338, (6.229464, 2.573577, 6.056103), (-0.062916, 0.151548, -0.088765, 0.982444)
53.3274, (6.203032, 2.579978, 6.054599), (-0.063449, 0.150008, -0.087148, 0.982791)
53.34121, (6.176159, 2.585969, 6.053243), (-0.063568, 0.148155, -0.084930, 0.983258)
53.35549, (6.148905, 2.593212, 6.051462), (-0.063431, 0.146471, -0.083284, 0.983660)
53.36912, (6.116675, 2.601084, 6.047317), (-0.062557, 0.142082, -0.079811, 0.984647)
53.38289, (6.090063, 2.606084, 6.045392), (-0.062494, 0.139544, -0.078255, 0.985139)
53.3969, (6.058374, 2.613708, 6.041687), (-0.061397, 0.136363, -0.075112, 0.985897)
53.41066, (6.029531, 2.622739, 6.035441), (-0.061196, 0.134588, -0.072669, 0.986337)
53.4247, (5.999378, 2.633195, 6.030859), (-0.060661, 0.133618, -0.070335, 0.986671)
53.43858, (5.972908, 2.643574, 6.025286), (-0.059925, 0.134385, -0.067441, 0.986814)
53.45251, (5.947227, 2.654610, 6.019740), (-0.058880, 0.134814, -0.064635, 0.987006)
53.46635, (5.929253, 2.662567, 6.014385), (-0.059566, 0.136678, -0.061131, 0.986932)
53.48013, (5.905070, 2.670894, 6.009096), (-0.059605, 0.136907, -0.058318, 0.987068)
53.49398, (5.892147, 2.680372, 5.999009), (-0.060909, 0.143253, -0.055350, 0.986258)
53.50817, (5.868971, 2.688553, 5.992229), (-0.061101, 0.145390, -0.053527, 0.986034)
53.5219, (5.851613, 2.699637, 5.983574), (-0.062358, 0.150582, -0.052678, 0.985222)
53.53591, (5.829077, 2.710363, 5.976218), (-0.062602, 0.153244, -0.050492, 0.984910)
53.55014, (5.807698, 2.717024, 5.968461), (-0.063282, 0.155703, -0.049134, 0.984550)
53.56382, (5.786592, 2.724400, 5.962004), (-0.063294, 0.158156, -0.047048, 0.984260)
53.57763, (5.765034, 2.728008, 5.953918), (-0.063497, 0.160465, -0.044901, 0.983973)
53.59151, (5.738851, 2.735198, 5.946631), (-0.062976, 0.163108, -0.043425, 0.983638)
53.60548, (5.709204, 2.742268, 5.940723), (-0.062940, 0.165280, -0.041612, 0.983356)
53.61944, (5.682221, 2.750211, 5.934419), (-0.062751, 0.166691, -0.039422, 0.983220)
53.6331, (5.652486, 2.757527, 5.931053), (-0.062895, 0.168373, -0.037356, 0.983005)
53.64738, (5.619131, 2.763804, 5.927846), (-0.062690, 0.169595, -0.034190, 0.982924)
53.66075, (5.583650, 2.769142, 5.922770), (-0.062030, 0.170333, -0.031566, 0.982926)
53.67462, (5.547223, 2.774580, 5.917717), (-0.061316, 0.170436, -0.028812, 0.983037)
53.68852, (5.508952, 2.779521, 5.910809), (-0.060575, 0.171122, -0.025629, 0.983052)
53.70253, (5.472759, 2.788714, 5.902767), (-0.058440, 0.170777, -0.021839, 0.983333)
53.71643, (5.438149, 2.793936, 5.894671), (-0.058426, 0.170755, -0.018595, 0.983404)
53.7304, (5.400072, 2.805996, 5.886451), (-0.057884, 0.170400, -0.014245, 0.983570)
53.74418, (5.364929, 2.817414, 5.876265), (-0.058207, 0.169915, -0.011973, 0.983665)
53.75811, (5.328284, 2.832930, 5.864179), (-0.059182, 0.169222, -0.010098, 0.983748)
53.77196, (5.291196, 2.845095, 5.850596), (-0.060888, 0.169038, -0.007358, 0.983700)
53.7859, (5.255608, 2.860246, 5.834127), (-0.063553, 0.169670, -0.004319, 0.983440)
53.8001, (5.221035, 2.875726, 5.816345), (-0.065533, 0.170469, -0.002031, 0.983180)
53.81393, (5.185338, 2.888744, 5.801994), (-0.067043, 0.170798, 0.000790, 0.983022)
53.82777, (5.148611, 2.905482, 5.776930), (-0.072384, 0.173033, 0.001764, 0.982251)
53.84145, (5.110866, 2.921460, 5.754643), (-0.075920, 0.174550, 0.002815, 0.981713)
53.85535, (5.073375, 2.931799, 5.730659), (-0.079604, 0.176104, 0.003903, 0.981140)
