152.8411, (-2.250654, 0.486661, 4.009357), (0.023254, -0.828971, 0.036682, 0.557603)
152.8546, (-2.253164, 0.486953, 4.005045), (0.022754, -0.828325, 0.036807, 0.558574)
152.8685, (-2.255617, 0.486799, 4.000755), (0.021607, -0.827401, 0.036238, 0.560025)
152.8821, (-2.257954, 0.486970, 3.996284), (0.021597, -0.826119, 0.037179, 0.561853)
152.8958, (-2.260302, 0.487107, 3.991876), (0.020799, -0.825072, 0.037638, 0.563389)
152.9097, (-2.262674, 0.486723, 3.988029), (0.021495, -0.823847, 0.039809, 0.565005)
152.9235, (-2.265141, 0.486462, 3.983737), (0.021396, -0.823113, 0.041112, 0.565984)
152.9373, (-2.267728, 0.486331, 3.979177), (0.020925, -0.822136, 0.042531, 0.567315)
152.9512, (-2.270012, 0.486307, 3.974798), (0.021065, -0.821188, 0.044209, 0.568553)
152.9655, (-2.272451, 0.486219, 3.970749), (0.020760, -0.821013, 0.045907, 0.568682)
152.9799, (-2.274749, 0.486484, 3.966615), (0.020929, -0.820538, 0.047755, 0.569208)
152.9946, (-2.277314, 0.486711, 3.962512), (0.021126, -0.820195, 0.049068, 0.569585)
153.0104, (-2.279856, 0.487171, 3.958326), (0.022196, -0.819505, 0.050394, 0.570420)
153.0264, (-2.284783, 0.487286, 3.950236), (0.022493, -0.818581, 0.050897, 0.571690)
153.0418, (-2.287135, 0.487313, 3.946529), (0.021773, -0.818362, 0.049789, 0.572128)
153.0714, (-2.289136, 0.486648, 3.943636), (0.018927, -0.818693, 0.046439, 0.572038)
153.0851, (-2.293764, 0.486196, 3.936083), (0.017487, -0.817918, 0.046468, 0.573189)
153.0984, (-2.296134, 0.485612, 3.932917), (0.016665, -0.817945, 0.047077, 0.573125)
153.1119, (-2.298481, 0.485003, 3.929703), (0.016795, -0.818219, 0.048168, 0.572639)
153.1251, (-2.300837, 0.484183, 3.926793), (0.018213, -0.818850, 0.049465, 0.571582)
153.1498, (-2.303154, 0.483097, 3.924116), (0.020913, -0.818950, 0.053983, 0.570938)
153.1643, (-2.305349, 0.482185, 3.921310), (0.021966, -0.819304, 0.056887, 0.570107)
153.1777, (-2.307604, 0.481739, 3.918599), (0.023150, -0.819928, 0.060069, 0.568836)
153.1912, (-2.310022, 0.481453, 3.915943), (0.024996, -0.820197, 0.063697, 0.567974)
153.2045, (-2.312557, 0.481149, 3.913082), (0.025338, -0.820458, 0.066814, 0.567224)
153.2178, (-2.315036, 0.480922, 3.910611), (0.024813, -0.820319, 0.068387, 0.567261)
153.2312, (-2.317223, 0.481068, 3.908148), (0.024575, -0.820375, 0.070599, 0.566919)
153.2445, (-2.319486, 0.481045, 3.906035), (0.024220, -0.821005, 0.070897, 0.565984)
153.258, (-2.321749, 0.480854, 3.903999), (0.023286, -0.821279, 0.071057, 0.565605)
153.2715, (-2.324166, 0.480571, 3.902302), (0.021709, -0.821421, 0.070428, 0.565541)
153.2849, (-2.326728, 0.480456, 3.900593), (0.020978, -0.821464, 0.070000, 0.565559)
153.2995, (-2.329368, 0.480275, 3.899159), (0.020560, -0.821652, 0.069322, 0.565385)
153.3145, (-2.332175, 0.480178, 3.897806), (0.020677, -0.821338, 0.069515, 0.565812)
153.33, (-2.335076, 0.479786, 3.896754), (0.021486, -0.821279, 0.069286, 0.565897)
153.3455, (-2.340503, 0.479063, 3.893970), (0.022722, -0.820889, 0.070255, 0.566295)
153.3608, (-2.343434, 0.478430, 3.893387), (0.023783, -0.819958, 0.071479, 0.567445)
153.3758, (-2.346294, 0.477760, 3.892654), (0.024233, -0.819150, 0.072826, 0.568421)
153.3906, (-2.349494, 0.477293, 3.891959), (0.024828, -0.818345, 0.074138, 0.569385)
153.4052, (-2.352631, 0.476743, 3.891304), (0.025465, -0.817315, 0.074912, 0.570733)
